discipline,dis_code,alt_names,htmlq,medal_events,primary,secondary,the_elements,tallbias,style,fasttwitch,suffer,greypoupon,cool
3on3 Basketball,BK3,,3x3-basketball,2,teamballsport,jump,,x,,,,,
Archery,ARC,,archery,5,target,poise,x,,,,,,
Athletics,ATH,,athletics,48,runjumpthrow,headtohead,s,,,x,,,
Badminton,BDM,,badminton,5,swing,headtohead,,,,,,,
Baseball,BSB,SOF-Softball,baseball-softball,2,teamballsport,swing,,,,,,,
Basketball,BAS,,basketball,2,teamballsport,jump,,x,,,,,
Beach Volleyball,BVO,,beach-volleyball,2,teamballsport,jump,,x,,,,,
BMX Freestyle,BMF,,cycling-bmx-freestyle,2,pedal,spinflip,,,x,,,,
BMX Racing,BMX,,cycling-bmx-racing,2,pedal,navigate,,,,x,,,
Boxing,BOX,,boxing,13,combat,punch,,,,x,,,
Canoe-Kayak Slalom,CSL,,canoe-slalom,4,rowpaddle,navigate,,,,x,,,
Canoe-Kayak Sprint,CAN,,canoe-sprint,12,rowpaddle,headtohead,x,,,x,,,
Diving,DIV,,diving,8,spinflip,fall,,,x,,,,
Equestrian Dressage,EDR,,equestrian,2,ride,poise,,,,,,,
Equestrian Eventing,EVE,,equestrian,2,ride,navigate,,,,,,,
Equestrian Jumping,EQU,,equestrian,2,ride,jump,,,,,,,
Fencing,FEN,,fencing,12,combat,headtohead,,,,x,,,
Field Hockey,HOK,HK5,hockey,2,teamballsport,swing,,,,,,,
Golf,GOL,Sroke-Play Golf,golf,2,swing,navigate,x,,,,,,
Gymnastics,GYM,Artistic Gymnastics,artistic-gymnastics,14,spinflip,balance,,,x,,,,
Judo,JUD,,judo,15,combat,subdue,,,,,,,
Karate,KTE,,karate,8,combat,strike,,,,,,,
Modern Pentathlon,MOP,,modern-pentathlon,2,swimstabrunride,,,,,,,,
Cycling-MTB,MTB,,cycling-mountain-bike,2,pedal,navigate,x,,,,,,
Openwater Swimming,OWS,Open-Water Swimming,marathon-swimming,2,swim,endure,x,,,,,,
Ping Pong,TTN,Table Tennis,table-tennis,5,swing,headtohead,,,,,,,
Rhythmic Gymnastics,RGM,RGY,rhythmic-gymnastics,2,spinflip,teamwork,,,x,,,,
Cycling-Road,CYC,,cycling-road,4,pedal,navigate,x,,,,,,
Rowing,ROW,,rowing,14,rowpaddle,headtohead,x,,,,,,
Rugby Sevens,RGS,,rugby-sevens,2,teamballsport,overpower,,x,,,,,
Sailing,SAI,,sailing,10,navigate,headtohead,x,,,,,,
Shooting,SHO,,shooting,15,target,control,,,,,,,
Skateboarding,SKB,,skateboarding,4,balance,spinflip,,,x,,,,
Soccer,FTB,Football,football,2,teamballsport,kick,,,,,,,
Sport Climbing,CLB,,sport-climbing,2,climb,navigate,,,,,,,
Surfing,SRF,,surfing,2,balance,spinflip,x,,x,,,,
Swimming,SWI,,swimming,35,swim,,,x,,,,,
Synchronized Swimming,SWA,,artistic-swimming,2,spinflip,swim,,,x,,,,
Taekwondo,TKW,,taekwondo,8,combat,kick,,,,,,,
Team Handball,HAN,,handball,2,teamballsport,throw,,,,,,,
Tennis,TEN,,tennis,5,swing,headtohead,,,,,,,
Cycling-Track,CTR,,cycling-track,12,pedal,headtohead,,,,,,,
Trampoline,TMP,,trampoline-gymnastics,2,balance,spinflip,,,x,,,,
Triathlon,TRI,,triathlon,3,swimpedalrun,endure,x,,,,,,
Volleyball,VOL,,volleyball,2,teamballsport,jump,,x,,,,,
Water Polo,WAP,,water-polo,2,teamballsport,swim,,x,,,,,
Weightlifting,WLT,,weightlifting,14,lift,,,,,,,,
Wrestling,WRE,,wrestling,18,combat,subdue,,,,,,,